,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,BMI_tags,Label
1,2,16.09786214997295,0.9320248764873583,F,18.531611873353047,958.584,1.2,1150.3008,8,13
2,4,14.619373955500555,0.9166868820307403,F,17.39749587302515,932.383,1.7,1585.0511000000001,7,1
4,4,17.89991841561572,0.9972877191242412,F,17.99741410238895,977.578,1.9,1857.3981999999999,7,4
6,3,13.53288038990203,1.0227863023776673,F,12.93660855278945,944.689,1.9,1794.9090999999999,7,3
8,4,17.039484483110172,1.053976656806435,M,15.338908849430025,799.229,1.9,1518.5351,7,0
10,3,12.032661523487478,1.078630267813443,F,10.342284830364653,939.781,1.9,1785.5838999999999,7,3
13,2,17.794900776543788,1.0703925289053617,M,15.53135807366933,831.386,1.9,1579.6334,7,1
15,3,15.789179098127962,0.9122557553153082,F,18.972577131442513,947.56,1.3,1231.828,8,13
19,3,13.300540735417368,1.0686860964260585,F,11.645790658716088,950.262,1.7,1615.4453999999998,7,1
21,4,15.504307124281025,0.9007040645299391,F,19.111207048532833,938.161,1.3,1219.6093,8,13
22,4,17.508939237744066,0.9693140007081545,M,18.635062950102437,763.329,1.3,992.3276999999999,8,12
23,5,15.328799289158194,0.9196015267743309,F,18.12628359433589,934.989,1.7,1589.4813,7,1
24,3,17.76999260194176,1.0347295405014274,F,16.59715122620208,987.396,1.9,1876.0523999999998,7,4
27,4,13.547525245612292,0.8695768040549228,F,17.91612468148824,914.084,1.9,1736.7595999999999,7,2
28,5,12.227311143025748,0.9762284114520774,F,12.830041993483603,914.841,1.7,1555.2296999999999,7,1
29,2,14.133505506641301,1.0267306175897828,F,13.40716228567338,955.826,1.9,1816.0693999999999,7,3
35,4,15.464262424325574,0.881802605844889,M,19.887786778899276,691.562,1.7,1175.6554,8,13
39,3,13.736122612473503,0.9218801683015477,F,16.162748454603104,929.486,1.7,1580.1262,7,1
46,3,16.16048870733119,1.0525516452875006,M,14.587056368175434,793.275,1.9,1507.2224999999999,7,0
47,5,14.009112387193026,1.0526770231624645,F,12.642132333495054,944.943,1.7,1606.4031,7,1
49,3,16.894457973587738,0.9202414772764672,F,19.949896867016914,959.528,1.3,1247.3864,8,13
57,2,12.73698974034635,1.0048164685502445,F,12.615175892948875,938.694,1.7,1595.7797999999998,7,1
58,5,17.376826100492284,1.0162459820181688,F,16.82568569042523,971.079,1.7,1650.8343,7,2
64,3,16.367050488068863,0.8930264195782449,F,20.523045469135585,949.838,1.5,1424.757,8,14
67,4,17.102880817032798,0.9617065475775484,F,18.492010169229545,963.878,1.9,1831.3682,7,3
68,2,17.19729221105274,0.8720387838893067,M,22.614577039142826,724.022,1.9,1375.6418,8,14
70,4,14.728941216252654,0.8760526297515369,M,19.1915978049924,678.613,1.7,1153.6421,8,13
79,4,17.04224212845933,1.0762009366426684,F,14.714313334291273,982.76,1.9,1867.244,7,4
84,4,16.95414372895288,0.9795654359636715,F,17.668877321120455,965.486,1.9,1834.4234,7,3
85,4,12.154358156526085,0.9411591518545531,F,13.721635870878924,912.879,1.9,1734.4701,7,2
86,3,17.70067187818394,1.051633096713448,F,16.00520570491547,989.604,1.7,1682.3268,7,2
91,4,17.275365257261278,1.0281677197119545,F,16.34177810601731,976.832,1.7,1660.6144,7,2
92,2,14.323289571998114,0.8623203058061891,M,19.2621848483099,679.789,1.5,1019.6835,8,12
94,4,14.423497615982068,0.9150001156969778,F,17.227739219959584,930.216,1.9,1767.4104,7,3
103,2,17.544371527252718,0.9420799297672442,F,19.767980881071463,974.18,1.2,1169.0159999999998,8,13
106,5,12.373340810045399,0.9602963602617742,F,13.417648472850269,913.534,1.9,1735.7145999999998,7,2
111,3,15.985863314892505,0.8999502495848503,M,19.737815805178005,714.581,1.7,1214.7877,8,13
114,4,15.277206816904464,0.8767985527882985,F,19.87212495627667,931.917,1.3,1211.4921000000002,8,13
116,4,12.812081534227314,0.995329715125446,F,12.932597281035935,928.402,1.9,1763.9638,7,3
123,2,17.363209568311287,1.0286136101672887,F,16.410638328387,987.151,1.5,1480.7265,7,0
