age,weight(kg),height(m),BMI,BMR,activity_level,calories_to_maintain_weight,gender_F,gender_M
2,16.09786214997295,0.9320248764873584,18.531611873353047,958.584,19.999999999999996,1150.3008,1,0
4,14.619373955500556,0.9166868820307404,17.39749587302515,932.383,70.0,1585.0511,1,0
4,17.89991841561572,0.9972877191242412,17.99741410238895,977.578,89.99999999999999,1857.3982,1,0
3,13.53288038990203,1.022786302377667,12.93660855278945,944.689,89.99999999999999,1794.9091,1,0
4,17.039484483110172,1.053976656806435,15.338908849430023,799.229,89.99999999999999,1518.5351,0,1
3,12.032661523487478,1.078630267813443,10.342284830364653,939.781,89.99999999999999,1785.5839,1,0
2,17.794900776543788,1.0703925289053615,15.53135807366933,831.386,89.99999999999999,1579.6334,0,1
3,15.789179098127962,0.9122557553153082,18.972577131442517,947.56,30.000000000000004,1231.828,1,0
3,13.300540735417368,1.0686860964260585,11.645790658716088,950.262,70.0,1615.4453999999998,1,0
4,15.504307124281024,0.9007040645299391,19.111207048532837,938.161,30.000000000000004,1219.6093,1,0
4,17.508939237744066,0.9693140007081544,18.63506295010244,763.329,30.000000000000004,992.3277,0,1
5,15.328799289158194,0.9196015267743308,18.12628359433589,934.989,70.0,1589.4813,1,0
3,17.76999260194176,1.0347295405014274,16.59715122620208,987.396,89.99999999999999,1876.0524,1,0
4,13.547525245612292,0.8695768040549228,17.91612468148824,914.084,89.99999999999999,1736.7596,1,0
5,12.227311143025748,0.9762284114520774,12.830041993483604,914.841,70.0,1555.2297,1,0
2,14.1335055066413,1.0267306175897828,13.40716228567338,955.826,89.99999999999999,1816.0694,1,0
4,15.464262424325574,0.881802605844889,19.88778677889928,691.562,70.0,1175.6554,0,1
3,13.736122612473505,0.9218801683015476,16.162748454603104,929.486,70.0,1580.1262,1,0
3,16.16048870733119,1.0525516452875006,14.587056368175434,793.275,89.99999999999999,1507.2225,0,1
5,14.009112387193026,1.0526770231624645,12.642132333495054,944.943,70.0,1606.4031,1,0
3,16.894457973587738,0.9202414772764672,19.949896867016918,959.528,30.000000000000004,1247.3864,1,0
2,12.73698974034635,1.0048164685502443,12.615175892948876,938.694,70.0,1595.7797999999998,1,0
5,17.376826100492284,1.0162459820181688,16.82568569042523,971.079,70.0,1650.8343,1,0
3,16.367050488068863,0.8930264195782449,20.523045469135585,949.838,50.0,1424.757,1,0
4,17.102880817032798,0.9617065475775484,18.492010169229545,963.878,89.99999999999999,1831.3682,1,0
2,17.19729221105274,0.8720387838893067,22.614577039142823,724.022,89.99999999999999,1375.6418,0,1
4,14.728941216252654,0.8760526297515369,19.1915978049924,678.613,70.0,1153.6421,0,1
4,17.04224212845933,1.0762009366426684,14.714313334291273,982.76,89.99999999999999,1867.244,1,0
4,16.95414372895288,0.9795654359636716,17.668877321120455,965.486,89.99999999999999,1834.4234,1,0
4,12.154358156526085,0.9411591518545532,13.721635870878924,912.879,89.99999999999999,1734.4701,1,0
